code,name,brief,description
W1306,missing-format-attribute,Missing format attribute %r in format specifier %r,"Used when a PEP 3101 format string uses an attribute specifier ({0.length}), but the argument passed for formatting doesn't have that attribute. This message can't be emitted when using Python < 2.7."
W1307,invalid-format-index,Using invalid lookup key %r in format specifier %r,"Used when a PEP 3101 format string uses a lookup specifier ({a[1]}), but the argument passed for formatting doesn't contain or doesn't have that key as an attribute. This message can't be emitted when using Python < 2.7."
W1401,anomalous-backslash-in-string,Anomalous backslash in string: '%s'. String constant might be missing an r prefix.,Used when a backslash is in a literal string but not as an escape.
W1402,anomalous-unicode-escape-in-string,Anomalous Unicode escape in byte string: '%s'. String constant might be missing an r or u prefix.,Used when an escape like \u is encountered in a byte string where it has no effect.
W1501,bad-open-mode,"""%s"" is not a valid mode for open.","Python supports: r, w, a[, x] modes with b, +, and U (only with r) options. See http://docs.python.org/2/library/functions.html#open"
W1502,boolean-datetime,Using datetime.time in a boolean context.,Using datetime.time in a boolean context can hide subtle bugs when the time they represent matches midnight UTC. This behaviour was fixed in Python 3.5. See http://bugs.python.org/issue13936 for reference. This message can't be emitted when using Python >= 3.5.
W1503,redundant-unittest-assert,Redundant use of %s with constant value %r,"The first argument of assertTrue and assertFalse is a condition. If a constant is passed as parameter, that condition will be always true. In this case a warning should be emitted."
W1505,deprecated-method,Using deprecated method %s(),The method is marked as deprecated and will be removed in a future version of Python. Consider looking for an alternative in the documentation.
W1506,bad-thread-instantiation,threading.Thread needs the target function,"The warning is emitted when a threading.Thread class is instantiated without the target function being passed. By default, the first parameter is the group param, not the target param."
W1507,shallow-copy-environ,Using copy.copy(os.environ). Use os.environ.copy() instead. ,"os.environ is not a dict object but proxy object, so shallow copy has still effects on original object. See https://bugs.python.org/issue15373 for reference."
W1601,apply-builtin,apply built-in referenced,Used when the apply built-in function is referenced (missing from Python 3)
W1602,basestring-builtin,basestring built-in referenced,Used when the basestring built-in function is referenced (missing from Python 3)
W1603,buffer-builtin,buffer built-in referenced,Used when the buffer built-in function is referenced (missing from Python 3)
W1604,cmp-builtin,cmp built-in referenced,Used when the cmp built-in function is referenced (missing from Python 3)
W1605,coerce-builtin,coerce built-in referenced,Used when the coerce built-in function is referenced (missing from Python 3)
W1606,execfile-builtin,execfile built-in referenced,Used when the execfile built-in function is referenced (missing from Python 3)
W1607,file-builtin,file built-in referenced,Used when the file built-in function is referenced (missing from Python 3)
W1608,long-builtin,long built-in referenced,Used when the long built-in function is referenced (missing from Python 3)
W1609,raw_input-builtin,raw_input built-in referenced,Used when the raw_input built-in function is referenced (missing from Python 3)
W1610,reduce-builtin,reduce built-in referenced,Used when the reduce built-in function is referenced (missing from Python 3)
W1611,standarderror-builtin,StandardError built-in referenced,Used when the StandardError built-in function is referenced (missing from Python 3)
W1612,unicode-builtin,unicode built-in referenced,Used when the unicode built-in function is referenced (missing from Python 3)
W1613,xrange-builtin,xrange built-in referenced,Used when the xrange built-in function is referenced (missing from Python 3)
W1614,coerce-method,__coerce__ method defined,Used when a __coerce__ method is defined (method is not used by Python 3)
W1615,delslice-method,__delslice__ method defined,Used when a __delslice__ method is defined (method is not used by Python 3)
W1616,getslice-method,__getslice__ method defined,Used when a __getslice__ method is defined (method is not used by Python 3)
W1617,setslice-method,__setslice__ method defined,Used when a __setslice__ method is defined (method is not used by Python 3)
W1618,no-absolute-import,import missing `from __future__ import absolute_import`,Used when an import is not accompanied by ``from __future__ import absolute_import`` (default behaviour in Python 3)
W1619,old-division,division w/o __future__ statement,Used for non-floor division w/o a float literal or ``from __future__ import division`` (Python 3 returns a float for int division unconditionally)
W1620,dict-iter-method,Calling a dict.iter*() method,"Used for calls to dict.iterkeys(), itervalues() or iteritems() (Python 3 lacks these methods)"
W1621,dict-view-method,Calling a dict.view*() method,"Used for calls to dict.viewkeys(), viewvalues() or viewitems() (Python 3 lacks these methods)"
W1622,next-method-called,Called a next() method on an object,Used when an object's next() method is called (Python 3 uses the next() built- in function)
W1623,metaclass-assignment,Assigning to a class's __metaclass__ attribute,Used when a metaclass is specified by assigning to __metaclass__ (Python 3 specifies the metaclass as a class statement argument)
W1624,indexing-exception,Indexing exceptions will not work on Python 3,Indexing exceptions will not work on Python 3. Use `exception.args[index]` instead.
W1625,raising-string,Raising a string exception,Used when a string exception is raised. This will not work on Python 3.
W1626,reload-builtin,reload built-in referenced,Used when the reload built-in function is referenced (missing from Python 3). You can use instead imp.reload or importlib.reload.
W1627,oct-method,__oct__ method defined,Used when an __oct__ method is defined (method is not used by Python 3)
W1628,hex-method,__hex__ method defined,Used when a __hex__ method is defined (method is not used by Python 3)
W1629,nonzero-method,__nonzero__ method defined,Used when a __nonzero__ method is defined (method is not used by Python 3)
W1630,cmp-method,__cmp__ method defined,Used when a __cmp__ method is defined (method is not used by Python 3)
W1632,input-builtin,input built-in referenced,Used when the input built-in is referenced (backwards-incompatible semantics in Python 3)
W1633,round-builtin,round built-in referenced,Used when the round built-in is referenced (backwards-incompatible semantics in Python 3)
W1634,intern-builtin,intern built-in referenced,Used when the intern built-in is referenced (Moved to sys.intern in Python 3)
W1635,unichr-builtin,unichr built-in referenced,Used when the unichr built-in is referenced (Use chr in Python 3)
W1636,map-builtin-not-iterating,map built-in referenced when not iterating,Used when the map built-in is referenced in a non-iterating context (returns an iterator in Python 3)
W1637,zip-builtin-not-iterating,zip built-in referenced when not iterating,Used when the zip built-in is referenced in a non-iterating context (returns an iterator in Python 3)
W1638,range-builtin-not-iterating,range built-in referenced when not iterating,Used when the range built-in is referenced in a non-iterating context (returns an iterator in Python 3)
W1639,filter-builtin-not-iterating,filter built-in referenced when not iterating,Used when the filter built-in is referenced in a non-iterating context (returns an iterator in Python 3)
W1640,using-cmp-argument,Using the cmp argument for list.sort / sorted,"Using the cmp argument for list.sort or the sorted builtin should be avoided, since it was removed in Python 3. Using either `key` or `functools.cmp_to_key` should be preferred."
W1641,eq-without-hash,Implementing __eq__ without also implementing __hash__,"Used when a class implements __eq__ but not __hash__. In Python 2, objects get object.__hash__ as the default implementation, in Python 3 objects get None as their default __hash__ implementation if they also implement __eq__."
W1642,div-method,__div__ method defined,Used when a __div__ method is defined. Using `__truediv__` and setting__div__ = __truediv__ should be preferred.(method is not used by Python 3)
W1643,idiv-method,__idiv__ method defined,Used when an __idiv__ method is defined. Using `__itruediv__` and setting__idiv__ = __itruediv__ should be preferred.(method is not used by Python 3)
W1644,rdiv-method,__rdiv__ method defined,Used when a __rdiv__ method is defined. Using `__rtruediv__` and setting__rdiv__ = __rtruediv__ should be preferred.(method is not used by Python 3)
W1645,exception-message-attribute,Exception.message removed in Python 3,Used when the message attribute is accessed on an Exception. Use str(exception) instead.
W1646,invalid-str-codec,non-text encoding used in str.decode,Used when using str.encode or str.decode with a non-text encoding. Use codecs module to handle arbitrary codecs.
W1647,sys-max-int,sys.maxint removed in Python 3,Used when accessing sys.maxint. Use sys.maxsize instead.
W1648,bad-python3-import,Module moved in Python 3,Used when importing a module that no longer exists in Python 3.
W1649,deprecated-string-function,Accessing a deprecated function on the string module,Used when accessing a string function that has been deprecated in Python 3.
W1650,deprecated-str-translate-call,Using str.translate with deprecated deletechars parameters,Used when using the deprecated deletechars parameters from str.translate. Use re.sub to remove the desired characters
W1651,deprecated-itertools-function,Accessing a deprecated function on the itertools module,Used when accessing a function on itertools that has been removed in Python 3.
W1652,deprecated-types-field,Accessing a deprecated fields on the types module,Used when accessing a field on types that has been removed in Python 3.
W1653,next-method-defined,next method defined,Used when a next method is defined that would be an iterator in Python 2 but is treated as a normal function in Python 3.
W1654,dict-items-not-iterating,dict.items referenced when not iterating,Used when dict.items is referenced in a non-iterating context (returns an iterator in Python 3)
W1655,dict-keys-not-iterating,dict.keys referenced when not iterating,Used when dict.keys is referenced in a non-iterating context (returns an iterator in Python 3)
W1656,dict-values-not-iterating,dict.values referenced when not iterating,Used when dict.values is referenced in a non-iterating context (returns an iterator in Python 3)
W1657,deprecated-operator-function,Accessing a removed attribute on the operator module,Used when accessing a field on operator module that has been removed in Python 3.
W1658,deprecated-urllib-function,Accessing a removed attribute on the urllib module,Used when accessing a field on urllib module that has been removed or moved in Python 3.
W1659,xreadlines-attribute,Accessing a removed xreadlines attribute,"Used when accessing the xreadlines() function on a file stream, removed in Python 3."
W1660,deprecated-sys-function,Accessing a removed attribute on the sys module,Used when accessing a field on sys module that has been removed in Python 3.
W1661,exception-escape,Using an exception object that was bound by an except handler,"Emitted when using an exception, that was bound in an except handler, outside of the except handler. On Python 3 these exceptions will be deleted once they get out of the except handler."
W1662,comprehension-escape,Using a variable that was bound inside a comprehension,"Emitted when using a variable, that was bound in a comprehension handler, outside of the comprehension itself. On Python 3 these variables will be deleted outside of the comprehension. "
