code,name,brief,description
E0238,invalid-slots,Invalid __slots__ object,"Used when an invalid __slots__ is found in class. Only a string, an iterable or a sequence is permitted."
E0239,inherit-non-class,"Inheriting %r, which is not a class.",Used when a class inherits from something which is not a class.
E0240,inconsistent-mro,Inconsistent method resolution order for class %r,Used when a class has an inconsistent method resolution order.
E0241,duplicate-bases,Duplicate bases for class %r,Used when a class has duplicate bases.
E0301,non-iterator-returned,__iter__ returns non-iterator,Used when an __iter__ method returns something which is not an iterable (i.e. has no `next` method)
E0302,unexpected-special-method-signature,"The special method %r expects %s param(s), %d %s given","Emitted when a special method was defined with an invalid number of parameters. If it has too few or too many, it might not work at all."
E0303,invalid-length-returned,__len__ does not return non-negative integer,Used when an __len__ method returns something which is not a non-negative integer
E0401,import-error,Unable to import %s,Used when pylint has been unable to import a module.
E0402,relative-beyond-top-level,Attempted relative import beyond top-level package,Used when a relative import tries to access too many levels in the current package.
E0601,used-before-assignment,Using variable %r before assignment,Used when a local variable is accessed before it's assignment.
E0602,undefined-variable,Undefined variable %r,Used when an undefined variable is accessed.
E0603,undefined-all-variable,Undefined variable name %r in __all__,Used when an undefined variable name is referenced in __all__.
E0604,invalid-all-object,"Invalid object %r in __all__, must contain only strings",Used when an invalid (non-string) object occurs in __all__.
E0611,no-name-in-module,No name %r in module %r,Used when a name cannot be found in a module.
E0632,unbalanced-tuple-unpacking,"Possible unbalanced tuple unpacking with sequence%s: left side has %d label(s), right side has %d value(s)",Used when there is an unbalanced tuple unpacking in assignment
E0633,unpacking-non-sequence,Attempting to unpack a non-sequence%s,Used when something which is not a sequence is used in an unpack assignment
E0701,bad-except-order,Bad except clauses order (%s),"Used when except clauses are not in the correct order (from the more specific to the more generic). If you don't fix the order, some exceptions may not be caught by the most specific handler."
E0702,raising-bad-type,Raising %s while only classes or instances are allowed,"Used when something which is neither a class, an instance or a string is raised (i.e. a `TypeError` will be raised)."
E0704,misplaced-bare-raise,The raise statement is not inside an except clause,"Used when a bare raise is not used inside an except clause. This generates an error, since there are no active exceptions to be reraised. An exception to this rule is represented by a bare raise inside a finally clause, which might work, as long as an exception is raised inside the try block, but it is nevertheless a code smell that must not be relied upon."
E0710,raising-non-exception,Raising a new style class which doesn't inherit from BaseException,Used when a new style class which doesn't inherit from BaseException is raised.
E0711,notimplemented-raised,NotImplemented raised - should raise NotImplementedError,Used when NotImplemented is raised instead of NotImplementedError
E0712,catching-non-exception,Catching an exception which doesn't inherit from Exception: %s,Used when a class which doesn't inherit from Exception is used as an exception in an except clause.
E1001,slots-on-old-class,Use of __slots__ on an old style class,Used when an old style class uses the __slots__ attribute. This message can't be emitted when using Python >= 3.0.
E1002,super-on-old-class,Use of super on an old style class,Used when an old style class uses the super builtin. This message can't be emitted when using Python >= 3.0.
E1003,bad-super-call,Bad first argument %r given to super(),Used when another argument than the current class is given as first argument of the super builtin.
E1004,missing-super-argument,Missing argument to super(),Used when the super builtin didn't receive an argument. This message can't be emitted when using Python >= 3.0.
E1101,no-member,%s %r has no %r member%s,Used when a variable is accessed for an unexistent member.
E1102,not-callable,%s is not callable,Used when an object being called has been inferred to a non callable object
E1111,assignment-from-no-return,Assigning to function call which doesn't return,Used when an assignment is done on a function call but the inferred function doesn't return anything.
E1120,no-value-for-parameter,No value for argument %s in %s call,Used when a function call passes too few arguments.
E1121,too-many-function-args,Too many positional arguments for %s call,Used when a function call passes too many positional arguments.
E1123,unexpected-keyword-arg,Unexpected keyword argument %r in %s call,Used when a function call passes a keyword argument that doesn't correspond to one of the function's parameter names.
E1124,redundant-keyword-arg,Argument %r passed by position and keyword in %s call,"Used when a function call would result in assigning multiple values to a function parameter, one value from a positional argument and one from a keyword argument."
E1126,invalid-sequence-index,"Sequence index is not an int, slice, or instance with __index__","Used when a sequence type is indexed with an invalid type. Valid types are ints, slices, and objects with an __index__ method."
E1127,invalid-slice-index,"Slice index is not an int, None, or instance with __index__","Used when a slice index is not an integer, None, or an object with an __index__ method."
E1128,assignment-from-none,Assigning to function call which only returns None,Used when an assignment is done on a function call but the inferred function returns nothing but None.
E1129,not-context-manager,Context manager '%s' doesn't implement __enter__ and __exit__.,Used when an instance in a with statement doesn't implement the context manager protocol(__enter__/__exit__).
E1130,invalid-unary-operand-type,,Emitted when a unary operand is used on an object which does not support this type of operation
E1131,unsupported-binary-operation,,Emitted when a binary arithmetic operation between two operands is not supported.
E1132,repeated-keyword,Got multiple values for keyword argument %r in function call,Emitted when a function call got multiple values for a keyword.
